part_number,description
AN3-6A,AN3-6A - 3/8 Grip 25/32 Length
AN3-7,AN3-7 - 1/2 Grip 29/32 Length
AN3-7A,AN3-7A - 1/2 Grip 29/32 Length
AN310-3,AN310-3 - Castle Nut #10-32
AN310-4,AN310-4 - Castle Nut 1/4-28
AN310-5,AN310-5 - Castle Nut 5/16-24
AN315-3,AN315-3 - Plain Nut #10-32
AN315-4,AN315-4 - Plain Nut 1/4-28
AN315-5,AN315-5 - Plain Nut 5/16-24
AN316-4,AN316-4 - Check Nut 1/4-28
AN316-5,AN316-5 - Check Nut 5/16-24
AN320-3,AN320-3 - Shear Nut #10-32
AN320-4,AN320-4 - Shear Nut 1/4-28
AN320-5,AN320-5 - Shear Nut 5/16-24
AN340-4,AN340-4 - Machine Screw Nut #4-40
AN340-6,AN340-6 - Machine Screw Nut #6-32
AN340-8,AN340-8 - Machine Screw Nut #8-32
AN340B6,AN340B6 - Machine Screw Nut #6-32
AN340C8,AN340C8 - Machine Screw Nut #8-32
AN345-10,AN345-10 - Machine Screw Nut #10-32
AN345-416,AN345-416 - Machine Screw Nut 1/4-28
AN345C10,AN345C10 - Machine Screw Nut #10-32
AN345C416,AN345C416 - Machine Screw Nut 1/4-28
AN3C3A,AN3C3A - 1/16 Grip 15/32 Length
AN4-10,AN4-10 - 9/16 Grip 1-1/32 Length
AN4-10A,AN4-10A - 9/16 Grip 1-1/32 Length
AN4-11,AN4-11 - 11/16 Grip 1-5/32 Length
AN4-11A,AN4-11A - 11/16 Grip 1-5/32 Length
AN4-12,AN4-12 - 13/16 Grip 1-9/32 Length
AN4-12A,AN4-12A - 13/16 Grip 1-9/32 Length
AN4-13,AN4-13 - 15/16 Grip 1-13/32 Length
AN4-13A,AN4-13A - 15/16 Grip 1-13/32 Length
AN4-14,AN4-14 - 1-1/16 Grip 1-17/32 Length
AN4-14A,AN4-14A - 1-1/16 Grip 1-17/32 Length
AN4-15,AN4-15 - 1-3/16 Grip 1-21/32 Length
AN4-15A,AN4-15A - 1-3/16 Grip 1-21/32 Length
AN4-16,AN4-16 - 1-5/16 Grip 1-25/32 Length
AN4-16A,AN4-16A - 1-5/16 Grip 1-25/32 Length
AN4-17,AN4-17 - 1-7/16 Grip 1-29/32 Length
AN4-17A,AN4-17A - 1-7/16 Grip 1-29/32 Length
AN4-20,AN4-20 - 1-9/16 Grip 2-1/32 Length
AN4-20A,AN4-20A - 1-9/16 Grip 2-1/32 Length
AN4-21,AN4-21 - 1-11/16 Grip 2-5/32 Length
AN4-21A,AN4-21A - 1-11/16 Grip 2-5/32 Length
AN4-22,AN4-22 - 1-13/16 Grip 2-9/32 Length
AN4-22A,AN4-22A - 1-13/16 Grip 2-9/32 Length
AN4-23,AN4-23 - 1-15/16 Grip 2-13/32 Length
AN4-23A,AN4-23A - 1-15/16 Grip 2-13/32 Length
AN4-24,AN4-24 - 2-1/16 Grip 2-17/32 Length
AN4-24A,AN4-24A - 2-1/16 Grip 2-17/32 Length
AN4-25,AN4-25 - 2-3/16 Grip 2-21/32 Length
AN4-25A,AN4-25A - 2-3/16 Grip 2-21/32 Length
AN4-26,AN4-26 - 2-5/16 Grip 2-25/32 Length
AN4-26A,AN4-26A - 2-5/16 Grip 2-25/32 Length
AN4-27,AN4-27 - 2-7/16 Grip 2-29/32 Length
AN4-27A,AN4-27A - 2-7/16 Grip 2-29/32 Length
AN4-3,AN4-3 - 1/16 Grip 15/32 Length
AN4-30,AN4-30 - 2-9/16 Grip 3-1/32 Length
AN4-30A,AN4-30A - 2-9/16 Grip 3-1/32 Length
AN4-31,AN4-31 - 2-11/16 Grip 3-5/32 Length
AN4-31A,AN4-31A - 2-11/16 Grip 3-5/32 Length
AN4-32,AN4-32 - 2-13/16 Grip 3-9/32 Length
AN4-32A,AN4-32A - 2-13/16 Grip 3-9/32 Length
AN4-33A,AN4-33A - 2-15/16 Grip 3-13/32 Length
AN4-4,AN4-4 - 1/16 Grip 17/32 Length
AN4-4A,AN4-4A - 1/16 Grip 17/32 Length
AN4-5,AN4-5 - 3/16 Grip 21/32 Length
AN4-5A,AN4-5A - 3/16 Grip 21/32 Length
AN4-6,AN4-6 - 5/16 Grip 25/32 Length
AN4-6A,AN4-6A - 5/16 Grip 25/32 Length
AN4-7,AN4-7 - 7/16 Grip 29/32 Length
AN4-7A,AN4-7A - 7/16 Grip 29/32 Length
AN525-10R10,AN525-10R10 - #10-32 Washer Head Screw - Steel
AN525-10R12,AN525-10R12 - #10-32 Washer Head Screw - Steel
AN525-10R14,AN525-10R14 - #10-32 Washer Head Screw - Steel
AN525-10R6,AN525-10R6 - #10-32 Washer Head Screw - Steel
AN525-10R7,AN525-10R7 - #10-32 Washer Head Screw - Steel
AN525-10R8,AN525-10R8 - #10-32 Washer Head Screw - Steel
AN525-416R9,AN525-416R9 - AN525 WASHER HEAD SCREWS
AN525-832R10,AN525-832R10 - #8-32 Washer Head Screw - Steel
AN525-832R6,AN525-832R6 - #8-32 Washer Head Screw - Steel
AN525-832R7,AN525-832R7 - #8-32 Washer Head Screw - Steel
AN525-832R8,AN525-832R8 - #8-32 Washer Head Screw - Steel
AN525C10R8,AN525C10R8 - #10-32 Washer Head Screw - Stainless
AN525C832R10,AN525C832R10 - #8-32 Washer Head Screw - Stainless
AN526-1032R10,AN526-1032R10 - #10-32 Phillips Oval Head Screw - Steel
AN526-1032R12,AN526-1032R12 - #10-32 Phillips Oval Head Screw - Steel
AN526-1032R28,AN526-1032R28 - #10-32 Phillips Oval Head Screw - Steel
AN526-1032R8,AN526-1032R8 - #10-32 Phillips Oval Head Screw - Steel
