kit_part_number,component_part_number,line_number,qty_per_kit,uom
C-150/152,8RX1/2FHBS100,1,19,ea
C-150/152,6RX1/2THBS,2,30,ea
C-150/152,8RX1/2THBS,3,200,ea
C-150/152,8RX5/8THBS,4,40,ea
C-150/152,10RX1/2THBS,5,25,ea
C-150/152,AN526C832R6,6,16,ea
C-150/152,AN526C832R8,7,37,ea
C-150/152,AN526C1032R8,8,31,ea
C-150/152,MS24693-C28,9,10,ea
C-150/152,MS24693-C273,10,15,ea
C-150/152,NAS1515-H-08L,11,35,ea
C-150/152,NAS1515-H-3L,12,35,ea
C-150/152,DP1085-20SS,13,17,ea
C-170,AN526C832R8,1,52,ea
C-170,AN526C1032R8,2,76,ea
C-170,8RX1/2FHAS100,3,17,ea
C-170,6RX1/2THBS,4,26,ea
C-170,8RX1/2THBS,5,42,ea
C-170,10RX1/2THBS,6,200,ea
C-170,NAS1515-H-08L,7,35,ea
C-170,NAS1515-H-3L,8,35,ea
C-170,DP1085-20SS,9,17,ea
C-172/172RG,MS24693-C28,1,10,ea
C-172/172RG,MS24693-C50,2,14,ea
C-172/172RG,AN526C632R8,3,50,ea
C-172/172RG,AN526C832R8,4,50,ea
C-172/172RG,AN526C1032R8,5,25,ea
C-172/172RG,6RX1/2FHAS100,6,25,ea
C-172/172RG,8RX1/2FHBS100,7,170,ea
C-172/172RG,6RX1/2THBS,8,25,ea
C-172/172RG,8RX1/2THBS,9,170,ea
C-172/172RG,10RX1/2THBS,10,25,ea
C-172/172RG,NAS1515-H-06L,11,35,ea
C-172/172RG,NAS1515-H-08L,12,35,ea
C-172/172RG,NAS1515-H-3L,13,35,ea
C-172/172RG,DP1080-17SS,14,12,ea
C-172/172RG,DP1085-20SS,15,18,ea
C-180/185,AN526C832R8,1,82,ea
C-180/185,AN526C1032R8,2,45,ea
C-180/185,AN526C1032R12,3,12,ea
C-180/185,MS24693-C28,4,10,ea
C-180/185,MS24693-C50,5,25,ea
C-180/185,MS24693-C272,6,12,ea
C-180/185,6RX1/2THBS,7,27,ea
C-180/185,8RX1/2THBS,8,160,ea
C-180/185,10RX1/2THBS,9,25,ea
C-180/185,8RX1/2FHBS100,10,150,ea
C-180/185,NAS1515-H-08L,11,35,ea
C-180/185,NAS1515-H-3L,12,35,ea
C-180/185,DP1085-20SS,13,18,ea
C-182/182RG,AN526C832R6,1,82,ea
C-182/182RG,AN526C832R8,2,82,ea
C-182/182RG,AN526C832R12,3,6,ea
C-182/182RG,AN526C1032R8,4,44,ea
C-182/182RG,AN526C1032R10,5,12,ea
C-182/182RG,MS24693-C28,6,10,ea
C-182/182RG,MS24693-C50,7,57,ea
C-182/182RG,MS24693-C272,8,6,ea
C-182/182RG,8RX3/8THAS,9,10,ea
C-182/182RG,8RX1/2THBS,10,175,ea
C-182/182RG,10RX1/2THBS,11,12,ea
C-182/182RG,8RX1/2FHBS100,12,170,ea
C-182/182RG,NAS1515-H-08L,13,35,ea
C-182/182RG,NAS1515-H-3L,14,35,ea
