so_number,kit_part_number,qty_ordered,qty_shipped,invoice_numbers
11292,SK4P3-T26,3,3,"11292, 11292, 02, 11292, 03, 11292, 04, 11292, 05"
11293,RV679J-C1P-UF,1,1,11293
11295,RV8J-C1P-F,1,1,11295
11299,SK203C182P4,1,1,11299
11301,RV4J-C1P-S,1,1,11301
11301,SK4002-TS2,1,1,11301
11302,PA34-C2P,1,1,11302
11314,PA30-C2P,1,1,11314
11320,SK4P3-T26,1,1,11320
11325,RV679J-C1P,1,1,11325
11328,SKN4-3S SET,4,4,11328
11356,SK2600-TS1,1,1,11356
11356,SK28S3-SET1,6,6,11356
11377,SK26S51-SET1,24,24,11377
11378,SK2600FW-SET1,3,3,11378
11379,KA90-NP1,1,1,11379
11380,B55-C1P,1,1,11380
11387,SK203C150P-FW4,1,1,11387
11387,SK203C172P-FW4,1,1,11387
11391,SK203C172P4,1,1,11391
11407,RV1014J-C1P-S,1,1,11407
11407,RV8J-C1P-F,1,1,11407
11415,RV-OD1,1,1,11415
11415,RV679J-C1P-F,1,1,11415
11429,SK26S51-SET1,2,2,11429
11429,ZG28S3-SET1,2,2,11429
11439,C414-C2P,1,1,11439
11450,C152-C1P,1,1,11450
11452,PA-FD1W,1,1,"11452, 11452, 02"
11452,PA-NAC1P,1,1,"11452, 11452, 02"
11452,PA-NP2P,1,1,"11452, 11452, 02"
11452,PA23-C4P,1,1,"11452, 11452, 02"
11458,SKN4-4S SET,2,2,11458
11485,SK203C150P4,1,1,11485
11502,SK203C172P4,1,1,11502
11509,SK2600-TS1,1,1,11509
11509,SK28S3-SET1,50,50,11509
11523,C177/177RG,1,1,11523
11537,RV8J-C1P,1,1,11537
11539,C152-C2,1,1,11539
11541,RV-OD2,4,4,11541
11543,B35UC530,1,1,11543
11543,RV-OD2,8,8,11543
11543,SK203C172P-SD4,1,1,11543
11543,SK203C177P4,1,1,11543
11567,RV679J-C1P-UF,1,1,11567
11567,SK4P3-T26,1,1,11567
11568,SK26S51-SET1,34,34,11568
11587,RV-OD1,1,1,11587
11587,RV1014J-C1P-F,1,1,11587
11587,SK4P3-T26,1,1,11587
11589,SK28S3-SET1,40,40,11589
11590,RV-OD2,1,1,11590
11599,B55-RAD,2,2,11599
11610,SK203C177P4,1,1,11610
11615,B55-AS2,1,1,"11615, 11615, 02"
11615,B55-C1P,1,1,"11615, 11615, 02"
11615,B55-EPD,1,1,"11615, 11615, 02"
11615,B55-NP1,1,1,"11615, 11615, 02"
11620,RV679-C1P-F,1,1,11620
11620,SK4002-TS2,1,1,11620
11633,B55-EPD,1,1,11633
11633,B55-NP1,1,1,11633
11660,RV8J-C1P-S,1,1,11660
11668,SK203C182P4,1,0,
11676,C180C2800P,1,1,11676
11676,SK2600-TS1,1,1,11676
11681,PA34-C3P,1,1,11681
11688,B35UC40P,1,1,11688
11689,B35UC530,1,1,"11689, 11689, 02"
11689,C150-C1,2,2,"11689, 11689, 02"
11689,C205-C1P,1,1,"11689, 11689, 02"
11689,M20-C5P,2,2,"11689, 11689, 02"
11689,SK203C150P-SD2,1,1,"11689, 11689, 02"
11690,C150-C1P,3,3,11690
11690,M20-C2P,1,1,11690
11705,PA-SEMINOLE,2,2,11705
11705,PA-T COMANCHE,1,1,11705
11746,B55-C1P,1,1,"11746, 11746, 02"
11746,B55-NP1,1,1,"11746, 11746, 02"
11746,BE-BARON55,1,1,"11746, 11746, 02"
11749,SK26S51-SET1,106,106,11749
11752,B35UC40P,1,1,11752
11764,SK203C172P4,1,1,11764
11765,SK203C182P4,1,1,11765
11769,B35UC40P,1,1,"11769, 11769, 02"
11769,C152-C2P,2,2,"11769, 11769, 02"
11769,CIT-400P,2,2,"11769, 11769, 02"
11769,RV1014J-C1P,1,1,"11769, 11769, 02"
11769,RV1014J-C1S,1,1,"11769, 11769, 02"
11769,SK203C172P4,3,3,"11769, 11769, 02"
11769,SK203C172PQ4,1,1,"11769, 11769, 02"
11770,RV-OD2,4,4,"11770, 11770, 02, 11770, 03"
11771,B35UC40P,2,2,"11771, 11771, 02, 11771, 03, 11771, 04"
11771,C172-C8P,1,1,"11771, 11771, 02, 11771, 03, 11771, 04"
11771,C182-C2P,2,2,"11771, 11771, 02, 11771, 03, 11771, 04"
11771,RV-OD1,6,6,"11771, 11771, 02, 11771, 03, 11771, 04"
11771,SK203C172P-RS4,1,1,"11771, 11771, 02, 11771, 03, 11771, 04"
11771,SK203C172P4,4,4,"11771, 11771, 02, 11771, 03, 11771, 04"
11780,RV1014J-C1P-F,1,1,11780
11807,RV8J-C1P-UF,1,1,11807
11807,SK4P3-T26,1,1,11807
11814,SK4P3-T26,1,1,11814
11823,PA28-C1,1,1,11823
11825,C100-EPD1P,1,1,11825
11826,SK203C172P4,1,1,11826
11827,B55-C1P,1,1,11827
11827,C421-C1P,1,1,11827
11830,SK28S3-SET1,100,100,11830
11833,SK203C182P4,1,1,11833
11864,SKN4-4S SET,11,11,11864
11865,SK203C150P4,1,1,11865
11868,SK2600FW-SET 2,4,4,11868
11868,SK28S3-SET2,10,10,11868
11876,B55-AS2,1,1,11876
11903,C100-EAD4,1,1,11903
11903,SK203C172P4,1,1,11903
11909,C400-BA2P,1,1,11909
11909,C400-NP6P,1,1,11909
11909,C400-OD1P,2,2,11909
11921,SK26S51-SET2,20,20,11921
11959,SK203C182P4,1,1,11959
11968,C182-C2P,1,1,11968
11973,C152-C2P,1,1,"11973, 11973, 02, 11973, 03, 11973, 04, 11973, 05"
11973,C172-C8P,1,1,"11973, 11973, 02, 11973, 03, 11973, 04, 11973, 05"
11973,C182-C2P,1,1,"11973, 11973, 02, 11973, 03, 11973, 04, 11973, 05"
11973,C182-C4P,2,2,"11973, 11973, 02, 11973, 03, 11973, 04, 11973, 05"
11973,RV-OD1,6,6,"11973, 11973, 02, 11973, 03, 11973, 04, 11973, 05"
11973,RV-OD2,10,10,"11973, 11973, 02, 11973, 03, 11973, 04, 11973, 05"
11975,KA90-NP1,2,2,11975
11976,B35LC2090,2,2,11976
11976,C172-C8P,2,2,11976
11976,RV-OD2,3,3,11976
11998,SK203C172P-FW4,1,1,11998
12023,SK28S3-SET1,10,10,12023
12028,C172-C1P,1,0,
12037,SK40S5-SET1,1,1,12037
12062,SK26S51-SET1,1,1,12062
12068,B35LC2090,6,6,"12068, 12068, 02"
12068,B35LC28P,4,4,"12068, 12068, 02"
12068,B35LC5100,4,4,"12068, 12068, 02"
12068,B35UC530,3,3,"12068, 12068, 02"
12068,B55-RAD,3,3,"12068, 12068, 02"
12068,BE-BARON55,2,2,"12068, 12068, 02"
12068,BE-BONANZA,6,6,"12068, 12068, 02"
12077,C152-C2P,1,1,12077
12077,SK203C172PQ4,1,1,12077
12079,SK203C172P4,1,1,12079
12093,B55-EPD,1,1,12093
12093,B55-NC,1,1,12093
12097,RV-OD2,1,1,12097
12123,SK203C172P4,3,3,"12123, 12123, 02"
12124,RV1014J-C1P-UF,2,2,"12124, 12124, 02"
12124,SK203C150P4,1,1,"12124, 12124, 02"
12124,SK203C177P4,1,1,"12124, 12124, 02"
12125,B35UC530,2,2,"12125, 12125, 02, 12125, 03, 12125, 04"
12125,RV679J-C1P,1,1,"12125, 12125, 02, 12125, 03, 12125, 04"
12125,SK203C150P-FW4,2,2,"12125, 12125, 02, 12125, 03, 12125, 04"
12125,SK203C150P4,1,1,"12125, 12125, 02, 12125, 03, 12125, 04"
12135,C182-C2P,1,1,12135
12140,C100-EPD1P,1,1,12140
12140,C182-C2P,1,1,12140
12159,SKN4-2S SET,4,4,12159
12159,SKN4-3S SET,8,8,12159
12160,RV1014J-C1P,1,1,12160
12184,B35UC530,1,1,12184
12195,RV-OD1,1,1,12195
12195,RV679J-C1P-S,1,1,12195
12196,C-172/172RG,1,1,12196
12196,PA-AZTEC,1,1,12196
12217,ZG28S3-SET1,51,51,12217
12225,B35LC28P,1,1,12225
12225,B35UC40P,1,1,12225
12241,SK203C172P4,1,1,12241
12250,C400-C1P,2,2,12250
12252,C303-C1P,1,1,12252
12252,C421-C1P,2,2,12252
12258,B35UC40S,1,1,12258
12258,SK4P3-T26,1,1,12258
12266,SK203C150P-FW4,1,1,12266
12269,SK203C182P4,1,1,12269
12281,SK26S51-SET1,18,18,12281
12297,M20-C6P,1,1,12297
12300,SK203C172P4,4,4,12300
12300,SK203C172PQ4,4,4,12300
12303,B55-RAD,4,4,12303
12303,C152-C2P,2,2,12303
12303,SK203C150P4,1,1,12303
12303,SK4P3-T26,3,3,12303
12309,C172-C1P,3,3,"12309, 12309, 02, 12309, 03"
12309,C172C2800P,1,1,"12309, 12309, 02, 12309, 03"
12309,SK203C172P-FW4,3,3,"12309, 12309, 02, 12309, 03"
12309,SK203C172PXP-FW4,1,1,"12309, 12309, 02, 12309, 03"
12322,RV1014J-C1P-S,1,1,12322
12326,PA23-C2P,1,1,12326
12328,RV8-C1P,1,1,12328
12328,SK4P3-T26,1,1,12328
12333,SK26S51-SET1,102,102,12333
12362,RV679J-C1P-F,1,1,12362
12362,SK4P3-T26,1,1,12362
12363,C100-EAD4,1,1,12363
12372,PA34-C3P,1,1,12372
12379,SKN4-4S SET,5,5,12379
12389,KA90-NP1,1,1,12389
12420,B35UC40P,1,1,12420
12420,SK4P3-T26,1,1,12420
12433,C-182/182RG,1,1,12433
12433,C100-EPD1S,1,1,12433
12448,SK203C150P4D,1,0,
12450,SK203C182P4,1,1,12450
12454,B55-AFP,1,1,12454
12454,B55-C1P,1,1,12454
12454,B55-EP,1,1,12454
12454,B55-EPD,1,1,12454
12454,B55-FG,1,1,12454
12454,B55-NC,1,1,12454
12454,B55-NP1,1,1,12454
12454,B55-RAD,1,1,12454
12461,RV8J-C1P-U,1,1,12461
12464,SK203C172P-RET,1,1,12464
12482,BE-BARON55,1,1,12482
12482,PA-140-235,1,1,12482
12489,C152-C2P,1,1,12489
12489,C182-C4P,2,2,12489
12490,RV-OD1,3,3,"12490, 12490, 02, 12490, 03, 12490, 04"
12491,C150-C1P,2,2,"12491, 12491, 02"
12491,SK203C172P4,4,4,"12491, 12491, 02"
12491,SK203C177P4,1,1,"12491, 12491, 02"
12509,C300-BA3,1,1,12509
12509,C300-NA1P,1,1,12509
12509,C300-OAD1P,1,1,12509
12509,C310-C3P,1,1,12509
12509,C310-FT2,1,1,12509
12513,PA30-2701P,1,1,12513
12518,SK203C172P4,1,1,12518
12545,B55-AFP,1,1,12545
12545,B55-C1P,1,1,12545
12545,B55-EP,1,1,12545
12545,B55-FG,1,1,12545
12545,B55-NP1,1,1,12545
12547,C310-C5P,1,1,12547
12559,B35UC40P,1,1,12559
12590,PA30-C2P,1,1,12590
12600,SK203C182P-FW4,1,1,12600
12606,M20-BAT1P,1,1,12606
12606,M20-C6AP,1,1,12606
12616,SK28S3-SET2,30,30,12616
12639,C300-NA2,1,1,12639
12639,C337-C1P,1,1,12639
12666,SK203C182P4,1,1,12666
12671,SK40S5-SET1,53,53,12671
12674,C172C2800P,1,1,12674
12675,SK203C150P-FW4,2,2,"12675, 12675, 02"
12675,SK203C172P-SD4,1,1,"12675, 12675, 02"
12677,C182-C2P,3,3,"12677, 12677, 02"
12677,SK203C172P4,9,9,"12677, 12677, 02"
12720,B55-NC,1,1,12720
12729,M20-C6AP,1,1,12729
12751,SK26S51-SET1,14,14,12751
12752,SK2600FW-SET1,3,3,12752
12752,SK2600SW-SET1,4,4,12752
12770,BM-C2P,1,1,12770
12779,SK203C172P4,1,1,12779
12782,SK203C172PXP-FW4,1,1,12782
12782,SK4P3-T26,1,1,12782
12785,B35LC5100,1,1,12785
12801,SK203C172P4,1,1,12801
12802,C210-C2P,1,1,12802
12805,SK28S3-SET1,1,1,12805
12819,PA30-2702P,1,1,12819
12821,SK203C172P4,1,0,
12853,B35UC40P,1,1,"12853, 12853, 02"
12853,SK203C150P4,1,1,"12853, 12853, 02"
12853,SK203C172P-FW4,1,1,"12853, 12853, 02"
12854,SK203C150P4D,1,1,"12854, 12854, 02, 12854, 03"
12855,B35UC40P,2,2,"12855, 12855, 02, 12855, 03, 12855, 04, 12855, 05"
12855,SK203C172P-RS4,1,1,"12855, 12855, 02, 12855, 03, 12855, 04, 12855, 05"
12858,SK4P3-T26,1,1,12858
12858,SKN4-2S SET,1,1,12858
12858,SKN4-3S SET,1,1,12858
12858,SKN4-4S SET,1,1,12858
12876,C400-BA1P,1,1,12876
12876,C400-NP6P,1,1,12876
12882,SK203C182P4,1,1,12882
12885,SK28S3-SET1,5,5,12885
12924,RV8J-C1P-S,1,1,12924
12933,SK203C150P4,1,1,12933
12941,B35LC5100,1,1,12941
12952,C182-C2P,1,1,12952
12966,PA34-C3P,1,1,12966
12967,SK2600FW-SET1,4,4,12967
12976,RV-OD1,1,1,12976
12983,ZG2600-SET1,1,1,12983
12983,ZG2600-SET2,1,1,12983
12990,SK203C172P-RET,1,1,12990
12992,SK203C150P-SD2,1,1,12992
12994,C172C2800P,1,1,"12994, 12994, 02, 12994, 03, 12994, 04, 12994, 05"
