so_number,kit_part_number,qty_ordered,qty_shipped,invoice_numbers
14030,C210-FT4,1,1,14030
14033,RV679J-C1P-U,1,1,14033
14036,PA23-C2P,1,1,14036
14038,C172-C8P,2,2,14038
14064,B35UC40P,1,1,14064
14064,SK4P3-T26,1,1,14064
14067,SK2600SW-SET1,2,2,14067
14067,SK26S51-SET1,2,2,14067
14067,SK40S5-SET1,1,1,14067
14067,ZG28S3-SET1,2,2,14067
14068,SK26S51-SET2,4,4,14068
14070,PA32-FT3,4,4,14070
14079,SK203C172P4,1,1,14079
14081,SK203C172P4,3,3,14081
14088,C180-C2P,1,1,14088
14092,BE-BONANZA,3,3,14092
14092,C-182/182RG,1,1,14092
14092,PA-140-235,2,2,14092
14103,C-172/172RG,1,1,14103
14106,SK203C150P4,1,1,14106
14123,C180-C2P,1,1,14123
14125,C421-C1P,1,1,14125
14132,C-150/152,1,1,14132
14132,C-172/172RG,2,2,14132
14132,PA-WARRIOR,1,1,14132
14132,SK203C172P4,1,1,14132
14145,SK40S5-SET1,28,28,14145
14147,PA-NAVAJO,1,1,14147
14152,SK40S5-SET1,10,10,14152
14158,C-182/182RG,1,1,14158
14169,RV8J-C1P-F,1,1,14169
14169,SK4002-TS2,1,1,14169
14176,SK203C172P4,1,1,14176
14197,C150C2800P,1,1,14197
14199,B95-AFP,1,1,14199
14210,C182-C2P,1,1,14210
14210,SK4P3-T26,1,1,14210
14210,SKN4-2S SET,1,1,14210
14214,SK203C172P4,1,1,14214
14217,SK28S3-SET2,34,34,14217
14219,C172-C1P,1,1,14219
14235,SK40S5-SET1,4,4,14235
14236,RV1014J-C1P-F,1,1,14236
14236,SK4P3-T26,1,1,14236
14239,SK203C150P4,1,1,14239
14249,C-401/402,1,1,14249
14249,C400-BA1S,1,1,14249
14249,C400-C2P,1,1,14249
14249,C400-NF1,1,1,14249
14249,C400-NP4P,1,1,14249
14251,RV-OD2,1,1,"14251, 14251, 02"
14253,B35LC27S,1,1,"14253, 14253, 02, 14253, 03"
14253,RV-OD2,6,6,"14253, 14253, 02, 14253, 03"
14253,SK203C150P4D,2,2,"14253, 14253, 02, 14253, 03"
14253,SK203C172P-RS4,1,1,"14253, 14253, 02, 14253, 03"
14253,SK203C172PQ4,1,1,"14253, 14253, 02, 14253, 03"
14253,SK203C172PXP-FW4,1,1,"14253, 14253, 02, 14253, 03"
14254,B35LC5100,1,1,"14254, 14254, 02"
14254,B35UC530,1,1,"14254, 14254, 02"
14254,RV-OD2,4,4,"14254, 14254, 02"
14254,RV679J-C1P-UF,2,2,"14254, 14254, 02"
14254,SK203C150P4,1,1,"14254, 14254, 02"
14254,SK203C172P-FW4,3,3,"14254, 14254, 02"
14255,SK203C172P4,1,1,14255
14260,C177-C1P,1,1,14260
14261,SK203C177P4,1,1,14261
14261,SK4P3-T26,1,1,14261
14281,C150C2800P,1,1,14281
14289,SK203C150P4D,1,1,14289
14291,SK28S3-SET1,20,20,14291
14297,SK203C172P4,1,1,14297
14303,M-201/231,1,1,14303
14318,RV1014J-C1P,1,1,14318
14318,RV8J-C1P,1,1,14318
14324,C100-EAD4,2,2,14324
14324,SK4P3-T26,1,1,14324
14331,B35LC5100,3,3,"14331, 14331, 02"
14331,B35UC40P,3,3,"14331, 14331, 02"
14355,SK203C182P4,1,1,14355
14356,RV679J-C1P-UF,1,1,14356
14358,C-182/182RG,1,1,14358
14368,SK203C172P4,1,1,14368
14386,RV679J-C1P,2,2,"14386, 14386, 02, 14386, 03"
14386,SK203C182P4,1,1,"14386, 14386, 02, 14386, 03"
14388,RV-OD2,3,3,"14388, 14388, 02, 14388, 03"
14390,C182-C2P,2,2,14390
14390,C182-C4P,3,3,14390
14390,RV-OD2,10,10,14390
14390,SK203C182P4,1,1,14390
14397,RV-OD1,1,1,14397
14399,SK203C150P4,1,0,
14426,RV1014J-C1P,1,1,14426
14442,C182-C4P,1,1,14442
14463,PA34-C2P,2,2,14463
14468,SK40S5-SET1,10,10,14468
14475,SK203C172PQ4,1,1,14475
14478,RV4J-C1P-UF,1,1,14478
14488,RV8J-C1S-U,1,1,14488
14491,SK203C172P4,2,2,14491
14493,SK203C182P4,1,1,14493
14498,C182-C2P,1,1,"14498, 14498, 02"
14498,RV-OD1,5,5,"14498, 14498, 02"
14498,SK203C172PQ4,1,1,"14498, 14498, 02"
14498,SK203C182P4,1,1,"14498, 14498, 02"
14505,B55-AFP,1,1,"14505, 14505, 02"
14505,C180-C2P,1,1,"14505, 14505, 02"
14505,SK203C172P-XP4,1,1,"14505, 14505, 02"
14505,SK203C182P4,1,1,"14505, 14505, 02"
14526,RV1014J-C1P-F,1,1,14526
14530,C182-C6P,1,1,14530
14542,SK2600FW-SET 2,4,0,
14553,B35LC40P,1,1,14553
14571,RV-OD2,1,1,14571
14571,RV1014J-C1P-UF,1,1,14571
14571,SK4002-TS2,1,1,14571
14571,SK40S5-SET1,8,8,14571
14575,RV1014-C1P-S,1,1,14575
14578,SK28S3-SET2,150,150,14578
14586,RV-OD2,3,3,14586
14592,BE-KINGAIR 300,1,1,"14592, 14592, 02"
14619,KA90-NP2,1,1,14619
14622,PA28-C1P,1,1,14622
14623,RV679J-C1P-UF,1,1,14623
14646,C-182/182RG,1,1,14646
14646,C182-C5,1,1,14646
14646,C182-C5P,1,1,14646
14665,SK203C172P4,5,5,"14665, 14665, 02"
14665,SK203C182P-FW4,1,1,"14665, 14665, 02"
14665,SK4P3-T26,3,3,"14665, 14665, 02"
14701,RV8J-C1P-UF,1,1,14701
14701,SK4P3-T26,1,1,14701
14706,RV8J-C1P-S,1,1,14706
14732,RV-OD2,1,1,14732
14732,RV1014J-C1P,1,1,14732
14745,PA34-C2,1,1,14745
14746,C180-C2P,1,1,14746
14772,RV679J-C1P-UF,1,1,14772
14775,SK4P3-T26,1,1,14775
14777,C182C2800P,1,1,14777
14787,RV-OD2,1,1,14787
14787,RV4-C1P-F,1,1,14787
14787,SK4P3-T26,1,1,14787
14806,SKN4-4S SET,10,10,14806
14831,SK203C172P-FW4,1,1,14831
14831,SK4P3-T26,2,2,14831
14841,SK203C172P-SD4,2,2,"14841, 14841, 02"
14841,SK203C172P4,7,7,"14841, 14841, 02"
14851,C210-C2P,1,1,14851
14873,C-421,1,1,14873
14886,SK203C172P4,1,1,14886
14947,C206-C2P,1,1,14947
14947,C207-C1P,1,1,14947
14964,SK203C172P4,3,3,"14964, 14964, 02"
14965,B35UC40P,1,1,"14965, 14965, 02"
14965,SK203C172P4,3,3,"14965, 14965, 02"
14965,SK203C172PQ4,1,1,"14965, 14965, 02"
14965,SK203C182P4,1,1,"14965, 14965, 02"
14965,SK4P3-T26,2,2,"14965, 14965, 02"
14965-01,SK203C182P4,1,0,
14966,C180-C2P,2,2,"14966, 14966, 02"
14966,RV679J-C1P,1,1,"14966, 14966, 02"
14966,SK203C150P4,1,1,"14966, 14966, 02"
14966,SK203C172P-FW4,2,2,"14966, 14966, 02"
14966,SK203C172P4,5,5,"14966, 14966, 02"
14969,RV8J-C1S,1,1,14969
14990,B35LC2090,1,0,
14997,SK28S3-SET1,10,10,14997
15004,SK203C150P4,1,1,15004
15027,BE-KINGAIR NOSE ALOCS,1,1,15027
15047,RV8J-C1P,1,1,15047
15064,BE-KINGAIR NOSE ALOCS,1,1,15064
15071,SK203C182P4,1,1,15071
15085,SK2018-SET,1,0,15085
15088,SKN4-4S SET,5,5,15088
15089,SK26S51-SET1,9,9,15089
15090,C-206/207,1,1,15090
15090,C205-C1P,1,1,15090
15098,SK203C150P4D,1,1,15098
15098,SK4002-TS2,1,1,15098
15101,C100-EAD4,1,1,15101
15112,C400-BA1P,1,1,15112
15112,C414-C1P,1,1,15112
15124,SK203C172P4,1,1,15124
15128,B35LC40P,1,1,"15128, 15128, 02"
15128,RV-OD2,8,8,"15128, 15128, 02"
15128,SK203C150P4,1,1,"15128, 15128, 02"
15128,SK203C172P-FW4,1,1,"15128, 15128, 02"
15143,SK28S3-SET1,50,50,15143
15148,SK203C182P4,1,1,15148
15171,B35LC5080,2,2,"15171, 15171, 02"
15171,B35LC5100,2,2,"15171, 15171, 02"
15171,B55-RAD,10,10,"15171, 15171, 02"
15180,B55-AS2,1,1,15180
15180,B55-EPD,1,1,15180
15191,PA46-C1P,1,1,15191
15211,RV-OD1,1,1,15211
15211,RV1014J-C1P,1,1,15211
15211,SK4002-TS2,1,1,15211
15215,RV679J-C1P-S,1,1,15215
15223,RV1014J-C1P-U,1,1,15223
15224,SK203C172P4,1,1,15224
15231,B35LC27S,1,1,15231
15232,RV679J-C1P,1,1,15232
15233,BE-TRAVELAIR,1,1,15233
15239,B55-NP1,1,1,15239
15246,SKN4-4S SET,5,5,15246
15257,SK203C172P4,1,1,15257
15262,B35LC40P,1,1,15262
15262,B35UC40P,1,1,15262
15262,SK4P3-T26,1,1,15262
15267,SK26S51-SET1,12,12,15267
15270,SK4P3-T26,1,1,15270
15293,B35LC5080,1,1,15293
15294,B35UC40P,1,1,15294
15302,C180-C1P,1,1,"15302, 15302, 02"
15303,C206-C1,1,1,"15303, 15303, 02"
15304,C182-C3P,1,1,"15304, 15304, 02"
15304,RV-OD1,3,3,"15304, 15304, 02"
15304,RV1014J-C1P,1,1,"15304, 15304, 02"
15304,SK4002-TS2,2,2,"15304, 15304, 02"
15306,RV-OD1,8,8,15306
15306,RV-OD2,10,10,15306
15306,SK203C172P-XP4,1,1,15306
15316,SK2600-TS1,1,1,15316
15316,SK28S3-SET1,45,45,15316
15320,C-172/172RG,2,2,15320
15320,M-201/231,1,1,15320
15320,PA-140-235,1,1,15320
15320,SK203C172P4,1,1,15320
15343,RV-OD2,1,1,15343
15358,B35LC40P,1,1,15358
15375,BE-KINGAIR 90,3,3,15375
15411,SK28S3-SET1,9,9,15411
15423,C180C2800P,1,1,15423
15424,SK28S3-SET1,8,8,15424
15431,B35UC40P,2,2,15431
15431,SK203C182P4,2,2,15431
15432,B35LC27S,2,2,"15432, 15432, 02, 15432, 03"
15432,B35UC530,1,1,"15432, 15432, 02, 15432, 03"
15432,C180-C2P,1,1,"15432, 15432, 02, 15432, 03"
15432,RV-OD2,4,4,"15432, 15432, 02, 15432, 03"
15432,RV679J-C1P,1,1,"15432, 15432, 02, 15432, 03"
15432,SK203C177P4,1,1,"15432, 15432, 02, 15432, 03"
15432,SK203C182P4,1,1,"15432, 15432, 02, 15432, 03"
15432,SK4P3-T26,3,3,"15432, 15432, 02, 15432, 03"
15454,M20-BAT2P,1,1,15454
15454,M20-BP1P,1,1,15454
15462,C172C2800P,1,1,15462
15473,SKN4-4S SET,5,5,15473
15477,RV1014J-C1P-UF,1,1,15477
15480,SK4P3-T26,1,1,15480
15482,B55-C1P,1,1,15482
15482,C172-C1P,2,2,15482
15482,C172-C5P,1,1,15482
15482,C182-C4P,2,2,15482
15482,SK203C172P-XP4,1,1,15482
15488,SK4P3-T26,1,1,15488
15492,C100-EPD1P,1,1,15492
15492,C182-C3P,1,1,15492
15526,ZG28S3-SET2,4,4,15526
15530,M20-C7P,1,1,15530
15538,SK28S3-SET1,2,2,15538
15543,SK2600FW-SET 2,2,2,"15543, 15543, 02"
15543,ZG2600W-SET2,4,4,"15543, 15543, 02"
15543,ZG28S3-SET2,5,5,"15543, 15543, 02"
15573,PA30-2701P,1,1,15573
15589,RV8-C1P-UF,1,1,15589
15593,C400-C1P,2,2,15593
15608,SK4P3-T26,1,1,15608
15613,SK203C172PQ4,1,1,15613
15614,RV679J-C1P-UF,1,1,15614
15614,SK4P3-T26,1,1,15614
15632,RV8J-C1P,1,1,15632
15643,B55-NP1,1,1,15643
15649,SK203C150P4D,1,1,15649
15653,PA-MALIBU,1,1,15653
15666,RV1014J-C1P-U,1,1,15666
15666,SK4P3-T26,1,1,15666
15670,SK4P3-T26,1,1,15670
15682,BE-KINGAIR AFT FUSELAGE,2,2,15682
15682,BE-KINGAIR ENGINE COWL,1,1,15682
15682,BE-KINGAIR NOSE ALOCS,2,2,15682
15688,M20-BAT1S,1,1,15688
15692,RV-OD1,1,1,15692
15695,SK203C182P4,1,1,15695
15695,SK4P3-T26,1,1,15695
15702,RV-OD1,1,1,15702
15704,SK203C172P4,1,0,
15708,SK2600FW-SET1,1,1,15708
15711,SK2600SW-SET1,2,2,15711
15712,RV1014J-C1P-UF,1,1,15712
15712,SK4P3-T26,1,1,15712
15725,SK203C150P4D,1,1,15725
15725,SK4P3-T26,1,1,15725
15744,SK26S51-SET1,4,4,15744
15751,SKN4-4S SET,5,5,15751
15752,C-172/172RG,1,1,15752
15763,B35LC2090,1,1,"15763, 15763, 02"
15764,C205-C1P,1,1,"15764, 15764, 02, 15764, 03"
15764,RV1014J-C1P,1,1,"15764, 15764, 02, 15764, 03"
15764,RV679J-C1P-UF,1,1,"15764, 15764, 02, 15764, 03"
15764,SK203C172P4,8,8,"15764, 15764, 02, 15764, 03"
15766,C100-AF1,1,1,15766
15766,C100-EAD4,1,1,15766
15766,C100-EPD1P,1,1,15766
15766,C180-C2P,1,1,15766
15781,SK4002-TS1,1,1,15781
15795,SK203C172P4,1,0,
15812,SKN4-3S SET,1,1,15812
15812,SKN4-4S SET,1,1,15812
15838,C172C2800P,1,1,15838
15853,SK40S5-SET1,3,3,15853
15871,SK28S3-SET1,33,33,15871
15872,SK203C182P4,1,1,15872
15879,C340-C1P,1,1,15879
15886,M20-C5P,1,1,15886
15891,SKN4-4S SET,10,10,15891
15892,B55-C1P,1,1,15892
15892,B55-NC,1,1,15892
15892,B55-NP1,1,1,15892
15901,C172-C1P,1,1,15901
15910,B35UC530,1,1,"15910, 15910, 02, 15910, 03"
15910,SK203C172P-SD4,2,2,"15910, 15910, 02, 15910, 03"
15911,B35UC530,1,1,15911
15911,C180-C1P,1,1,15911
15930,C180-C1P,1,1,15930
15935,C-182/182RG,1,1,15935
15938,M20-C3P,1,1,15938
15967,C340-C1P,1,1,15967
15976,SK26S51-SET1,4,4,15976
15983,C205-C1P,1,1,15983
16020,B35UC530,2,2,"16020, 16020, 02"
16020,C150C2800P,1,1,"16020, 16020, 02"
16020,C172C2800P,1,1,"16020, 16020, 02"
16020,C182-C4P,2,2,"16020, 16020, 02"
16020,M20-C2P,1,1,"16020, 16020, 02"
16020,SK203C150P4,1,1,"16020, 16020, 02"
16022,C172-C1P,3,3,"16022, 16022, 02, 16022, 03"
16022,C182-C2P,3,3,"16022, 16022, 02, 16022, 03"
16022,C205-C1P,1,1,"16022, 16022, 02, 16022, 03"
16022,M20-C5P,1,1,"16022, 16022, 02, 16022, 03"
16022,SK203C150P4,1,1,"16022, 16022, 02, 16022, 03"
16022,SK203C182P-FW4,1,1,"16022, 16022, 02, 16022, 03"
16022,SK203C182P4,1,1,"16022, 16022, 02, 16022, 03"
16041,C182-C4P,1,1,16041
16064,M20-C5P,1,1,16064
16064,SK4P3-T26,1,1,16064
16080,SK28S3-SET2,3,3,16080
16107,C172-C1,1,1,16107
16125,B35LC5100,1,1,16125
16128,RV8J-C1P,1,1,16128
16137,PA-T COMANCHE,1,1,16137
16137,PA30-C2P,1,1,16137
16139,SK203C172P4,1,1,16139
16153,C-335/340,1,1,16153
16153,C340-C1P,1,1,16153
16164,B35UC40P,1,1,16164
16192,RV679J-C1P-S,1,1,16192
16196,SK28S3-SET1,4,4,16196
16201,C172C2800P,1,1,16201
16201,RV-OD2,4,4,16201
16201,SK4P3-T26,3,3,16201
16202,C172-C1P,2,2,16202
16202,SK203C150P4D,1,1,16202
16202,SK4P3-T26,3,3,16202
16203,RV1014J-C1P,1,1,"16203, 16203, 02, 16203, 03"
16203,SK203C172P-FW4,1,1,"16203, 16203, 02, 16203, 03"
16203,SK203C172P-XP4,1,1,"16203, 16203, 02, 16203, 03"
16208,SK4P3-T26,1,1,16208
16229,RV1014J-C1P,1,1,16229
16229,SK203C150P-SD2,1,1,16229
16229,SK203C182P4,1,1,16229
16229,SK4P3-T26,4,4,16229
16232,C152-C2P,2,2,"16232, 16232, 02"
16232,C172C2800P,1,1,"16232, 16232, 02"
16239,C172-C4P,1,1,16239
16251,RV8J-C1P-UF,1,1,16251
16285,C172C2800P,1,1,16285
16296,SK2600FW-SET1,3,3,16296
16299,SK203C172P4,1,1,16299
16301,C100-EAD4,1,1,16301
16305,SK203C172P4,1,1,16305
16305,SK4P3-T26,1,1,16305
16322,C172C2800P,1,1,16322
16322,SK203C150P4,1,1,16322
16330,SK203C172P4,1,1,16330
16341,B55-C1P,1,1,16341
16345,SK203C172P4,1,1,16345
16355,RV679J-C1P-U,1,1,16355
16355,SK4P3-T26,1,1,16355
16361,SK203C172P4,1,1,16361
16373,SK203C172P4,1,1,16373
16373,SK4P3-T26,1,1,16373
16377,SK40S5-SET1,10,10,16377
16381,SK203C172P4,1,1,16381
16383,PA34-C3P,1,1,16383
16386,C180-C2P,1,1,16386
16470,PA23-C4P,1,1,16470
16474,RV1014J-C1P-UF,1,1,16474
16482,SK26S51-SET1,4,4,16482
16486,C180-C1P,1,1,16486
16487,SK203C172P4,4,4,"16487, 16487, 02"
16488,C180-C2P,2,2,"16488, 16488, 02, 16488, 03"
16488,SK203C172P-FW4,1,1,"16488, 16488, 02, 16488, 03"
16488,SK203C172P4,5,5,"16488, 16488, 02, 16488, 03"
16489,C182-C4P,1,1,"16489, 16489, 02"
16489,RV-OD2,4,4,"16489, 16489, 02"
16489,SK203C172P4,3,3,"16489, 16489, 02"
16499,C100-EAD4,1,1,16499
16499,C100-EPD1P,1,1,16499
16514,B55-C2P,2,2,16514
16519,SK4P3-T26,1,1,16519
16544,RV1014J-C1P-UF,1,1,16544
16544,SK4P3-T26,1,1,16544
16570,SK203C182P4,1,1,16570
16572,RV-OD2,1,1,16572
16579,SK203C172P4,1,1,16579
16590,SK28S3-SET1,1,1,16590
16599,SK203C172P-SD4,2,2,"16599, 16599, 02"
16599,SK203C172P4,6,6,"16599, 16599, 02"
16599,SK203C182P4,1,1,"16599, 16599, 02"
16600,B35LC5100,1,1,"16600, 16600, 02"
16600,C152-C2P,2,2,"16600, 16600, 02"
16600,RV-OD1,5,5,"16600, 16600, 02"
16600,SK203C150P4,1,1,"16600, 16600, 02"
16600,SK203C182P4,2,2,"16600, 16600, 02"
16602,SK203C172P4,1,1,16602
16604,SK203C150P4D,1,1,16604
16636,M20-BP1P,1,1,16636
16637,B55-C1P,1,1,16637
16640,C-210,1,1,16640
16640,C210-C1P,1,1,16640
16644,SK28S3-SET1,20,20,16644
16680,SK203C150P4,1,1,16680
16682,SK26S51-SET1,20,20,16682
16686,C177-C1P,1,1,16686
16703,ZG28S3-SET1,8,8,16703
16717,RV1014J-C1P-UF,2,2,16717
16717,SK4P3-T26,1,1,16717
16722,RV-OD2,1,1,16722
16743,BM-C2P,1,1,16743
16745,C180-C2P,1,1,"16745, 16745, 02"
16748,B35LC2090,1,1,"16748, 16748, 02"
16748,C205-C1P,1,1,"16748, 16748, 02"
16748,M20-C5P,1,1,"16748, 16748, 02"
16748,RV-OD1,4,4,"16748, 16748, 02"
16753,C180-C1P,2,2,"16753, 16753, 02"
16753,RV679J-C1P,1,1,"16753, 16753, 02"
16753,SK203C172P4,6,6,"16753, 16753, 02"
16753,SK203C182P4,1,1,"16753, 16753, 02"
16763,RV-OD1,2,2,16763
16767,C182C2800P,1,1,16767
16776,SK203C150P4D,1,1,16776
16784,M20-C6P,1,1,16784
16790,SK4P3-T26,1,1,16790
16800,C182C2800P,1,1,16800
16809,C-150/152,1,1,16809
16809,SK203C150P4D,1,1,16809
16827,SK203C150P4D,1,1,16827
16867,C-310-2,1,1,"16867, 16867, 02"
16867,C-335/340,1,1,"16867, 16867, 02"
16867,C300-BA3,1,1,"16867, 16867, 02"
16867,C300-NA4P,1,1,"16867, 16867, 02"
16867,C310-C5P,1,1,"16867, 16867, 02"
16867,C340-C1P,1,1,"16867, 16867, 02"
16902,C172-C1P,3,3,"16902, 16902, 02"
16902,SK203C150P4,1,1,"16902, 16902, 02"
16902,SK203C172P4,8,8,"16902, 16902, 02"
16902,SK203C177P4,1,1,"16902, 16902, 02"
16902,SK4P3-T26,2,2,"16902, 16902, 02"
16907,C152-C2P,1,1,"16907, 16907, 02"
16907,SK203C150P4D,2,0,"16907, 16907, 02"
16924,C414-C2P,1,1,16924
16940,SK203C150P4D,1,1,16940
16947,PA34-C2P,1,1,16947
16950,RV1014J-C1P,1,1,16950
16956,SK4P3-T26,1,1,16956
16963,PA-140-235,2,2,16963
16963,PA-CHEROKEE SIX,1,1,16963
16965,B35UC530,1,1,16965
16982,C100-EPD1P,1,1,16982
16982,C182-C2P,1,1,16982
16985,C177-C1P,1,1,16985
16989,SK203C150P-SD2,1,1,16989
17007,C182-C4P,1,1,17007
17010,SKN4-4S SET,5,5,17010
17016,SK203C150P4,1,1,17016
17021,M20-BAT2P,1,1,17021
17021,M20-C6P,1,1,17021
17027,SKN4-3S SET,2,2,17027
17027,SKN4-4S SET,2,2,17027
17028,C-150/152,1,1,17028
17028,C-172/172RG,3,3,17028
17028,C-310-2,1,1,17028
17028,C-335/340,1,1,17028
17032,KA90-AP1,1,1,17032
17040,SK203C172P4,1,1,17040
17040,SK4P3-T26,1,1,17040
17046,KA90-NP2,1,1,17046
17050,C172-C8P,1,1,17050
17050,C182-C7P,1,1,17050
17054,SK40S5-SET1,10,10,17054
17063,C172-C1,1,1,17063
17068,ZG28S3-SET1,16,16,17068
17077,SK28S3-SET1,1,1,17077
17077,ZG28S3-SET2,1,1,17077
17086,SK203C182P-FW4,1,1,17086
17090,BE-BONANZA,1,1,17090
17099,SK28S3-SET1,20,20,17099
17111,C206-C1P,1,1,17111
17147,SK203C172P4,1,1,17147
17147,SK4002-TS2,1,1,17147
17168,RV8J-C1S-UF,1,1,17168
17171,C152-C2P,2,2,"17171, 17171, 02, 17171, 03"
17171,SK203C172P-RS4,1,1,"17171, 17171, 02, 17171, 03"
17171,SK4P3-T26,2,2,"17171, 17171, 02, 17171, 03"
17172,SK203C182P-FW4,1,1,"17172, 17172, 02"
17173,RV-OD1,3,3,"17173, 17173, 02, 17173, 03"
17173,RV679J-C1P,1,1,"17173, 17173, 02, 17173, 03"
17173,SK203C172P4,6,6,"17173, 17173, 02, 17173, 03"
17173,SK4P3-T26,3,3,"17173, 17173, 02, 17173, 03"
17179,SK203C172P4,1,1,17179
17179,SK4P3-T26,1,1,17179
17186,AC500-C4P,1,1,17186
17187,SK203C172P4,1,1,17187
17191,SK2600-TS1,1,1,17191
17191,ZG28S3-SET1,8,8,17191
17229,SK4P3-T26,1,1,17229
17250,KA90-NP1,1,1,17250
17254,SK203C150P4,1,1,17254
17258,SK203C172P4,1,0,
17259,C400-C1P,1,1,17259
17262,SK40S5-SET1,9,9,17262
17273,C400-C1P,1,1,17273
17273,C400-NP3P,1,1,17273
17302,C210-C2P,1,1,17302
17310,PA-NP3P,1,1,17310
17343,RV1014J-C1P-F,1,1,17343
17344,RV679J-C1P,1,1,17344
17344,SK4P3-T26,1,1,17344
17362,M20-C3P,1,1,17362
17365,C180-C2P,1,1,"17365, 17365, 02"
17367,RV679J-C1P-S,1,0,17367
17383,SK203C172P4,1,1,17383
17383,SK4002-TS2,1,1,17383
17397,C177-C1P,1,1,17397
17408,SK203C172P4,3,3,"17408, 17408, 02"
17410,C172-C1P,1,1,"17410, 17410, 02"
17410,SK203C172P-RS4,1,1,"17410, 17410, 02"
17410,SK203C177P4,1,1,"17410, 17410, 02"
17434,SK203C172P4,1,1,17434
17444,SK203C172P4,1,1,"17444, 17444, 02"
17445,M20-C5P,1,1,17445
17446,B35LC2090,1,1,"17446, 17446, 02"
17446,B35UC40P,2,2,"17446, 17446, 02"
17446,B55-C1P,1,1,"17446, 17446, 02"
17446,C172C2800P,1,1,"17446, 17446, 02"
17446,SK203C172PQ4,1,1,"17446, 17446, 02"
17446,SK203C172PXP-FW4,1,1,"17446, 17446, 02"
17456,SK203C172PQ4,1,1,17456
17461,RV-OD1,1,1,17461
17461,RV8J-C1P,1,1,17461
17461,SK4002-TS2,1,1,17461
17476,B35LC28P,1,1,17476
17487,SK26S51-SET1,24,24,17487
17488,C180C2800P,1,1,17488
17494,RV679J-C1P-U,1,1,17494
17500,C205-C1P,1,1,17500
17505,SK4P3-T26,1,1,17505
17507,B55-C1P,1,1,17507
17519,RV1014J-C1P,1,1,17519
17542,SK4P3-T26,1,1,17542
17550,RV4-C1P-S,1,1,17550
17572,SK2600RS-SET1,25,25,17572
17575,C206-C2P,1,1,17575
17586,SK203C172P4,1,1,17586
17590,RV-OD2,1,1,17590
17590,RV8J-C1P,1,1,17590
17590,SK4002-TS2,1,1,17590
17604,SK203C172P-SD4,1,1,17604
17611,RV-OD2,5,0,17611
17611,SK4P3-T26,3,0,17611
17612,SK203C182P4,1,1,"17612, 17612, 02"
17613,C180-C2P,2,2,17613
17613,C182-C4P,2,2,17613
17613,RV-OD2,9,0,17613
17613,SK203C172P-FW4,1,0,17613
17614,C182-C4P,1,1,17614
17619,SK203C172P4,1,1,17619
17620,SK203C172P4,1,1,17620
17623,SK203C172PQ4,1,1,17623
17628,M20-BAT1P,1,1,17628
17628,M20-BP1P,1,1,17628
17628,M20-C6AP,1,1,17628
17634,SK203C172P4,1,1,17634
17635,KA90-NP1,2,2,17635
17640,RV8J-C1P,1,1,17640
17650,C172-C4P,1,1,17650
17653,SK203C172P4,1,1,17653
17657,SK203C172P4,1,1,17657
17659,SK203C172P4,1,1,"17659, 17659, 02"
17673,SK203C172P4,1,1,"17673, 17673, 02"
17674,RV-OD2,9,0,17674
17675,C150-C1,1,1,17675
17675,C172C2800P,1,0,17675
17675,RV-OD2,6,0,17675
17675,SK203C150P-FW4,1,0,17675
17675,SK203C172P-FW4,2,0,17675
17683,C208-C1P,1,1,17683
17684,B35LC28P,1,0,
17685,SK28S3-SET1,60,0,
17696,RV8J-C1P-UF,1,1,17696
17696,SK4P3-T26,1,1,17696
17722,RV8J-C1P-F,1,1,17722
17722,SK4P3-T26,1,1,17722
17724,RV8J-C1S-F,1,1,17724
17730,RV1014J-C1S-UF,1,1,17730
17737,RV8J-C1P,1,0,
17747,SK203C172PQ4,1,1,"17747, 17747, 02"
17752,RV-OD2,1,1,17752
17752,RV679J-C1P-UF,1,1,17752
17752,SK4P3-T26,1,1,17752
17756,RV-OD1,3,0,17756
17756,RV-OD2,2,2,17756
17758,SK203C172P4,1,1,17758
17772,RV679-C1P-UF,1,1,17772
17781,SK203C172PQ4,1,1,17781
17781,SK4P3-T26,1,1,17781
17786,C-172/172RG,1,1,17786
17786,PA-140-235,1,1,17786
17786,PA-WARRIOR,1,1,17786
17788,RV679-C1P,1,1,17788
17797,M20-BAT1P,1,1,"17797, 17797, 02"
17797,M20-C5P,1,1,"17797, 17797, 02"
17802,C182-C6,1,1,17802
17803,SK203C172P4,2,2,"17803, 17803, 02"
17805,B55-C1,1,0,
17805,B55-EP,1,0,
17805,B55-NP1,1,0,
17806,SK28S3-SET1,4,4,17806
17811,RV679J-C1P-F,1,1,17811
17818,SK203C172P4,1,1,17818
17825,SK203C172P4,4,4,"17825, 17825, 02"
17826,C180-C1P,2,2,"17826, 17826, 02"
17826,RV-OD1,5,0,"17826, 17826, 02"
17826,SK203C177P4,2,2,"17826, 17826, 02"
17826,SK4P3-T26,4,4,"17826, 17826, 02"
17827,B35UC40P,1,1,"17827, 17827, 02"
17827,C172-C1P,2,2,"17827, 17827, 02"
17827,SK203C172PQ4,1,1,"17827, 17827, 02"
17827,SK4P3-T26,3,3,"17827, 17827, 02"
17834,PA-CHEYENNE,2,2,17834
17841,C182-C5P,1,1,17841
17850,B35LC27S,1,0,17850
17850,B35LC5080,1,1,17850
17850,C150-C1P,4,4,17850
17850,C172-C1P,6,6,17850
17850,PA28-C1P,1,1,17850
